ID,ORF,Metarow,Metacolomn,Sub-Grid Row,Sub-Grid Colomn,description
189,slr2089,1,1,9,1,squalene-hopene-cyclase
190,sll1980,1,1,9,2,thiol:disulfide interchange protein TrxA
191,slr2100,1,1,9,3,regulatory components of sensory transduction syst
192,slr2103,1,1,9,4,
193,slr2105,1,1,9,6,
194,slr1336,1,1,9,7,H+/Ca2+ exchanger
195,slr1343,1,1,9,8,
196,slr1349,1,1,9,9,glucose-6-phosphate isomerase
197,slr1351,1,1,9,10,UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diamino
198,slr1353,1,1,9,11,
199,sll1242,1,1,9,12,
200,slr1163,1,1,9,13,
201,slr1165,1,1,9,14,sulfate adenylyltransferase
202,sll1091,1,1,9,15,391 aa (43 kD) bacteriochlorophyll synthase subuni
203,slr1171,1,1,9,16,glutathione peroxidase
204,sll1087,1,1,9,17,sodium-coupled permease
205,sll0260,1,1,9,19,hemolysin
206,slr0292,1,1,9,20,
207,slr0394,1,1,9,21,phosphoglycerate kinase
208,sll0362,1,1,9,22,alanyl-tRNA synthetase
209,slr0397,1,1,9,23,
210,slr0400,1,1,9,24,hypothetical protein
211,sll1418,1,1,10,1,
212,sll1415,1,1,10,2,hypothetical protein
213,slr1515,1,1,10,3,
214,slr1518,1,1,10,4,menaquinone biosynthesis protein
215,slr1520,1,1,10,5,
216,sll2001,1,1,10,6,leucine aminopeptidase
217,sll1890,1,1,10,7,CobN protein
218,slr1970,1,1,10,8,
219,sll1888,1,1,10,9,sensory transduction histidine kinase
220,sll1886,1,1,10,10,
221,sll1874,1,1,10,11,phytochrome-regulated gene
222,sll1870,1,1,10,12,ABC transporter
223,slr1687,1,1,10,13,
224,sll1557,1,1,10,14,succinyl-CoA synthetase
225,sll1555,1,1,10,15,regulatory components of sensory transduction syst
226,slr1690,1,1,10,16,hypothetical protein
227,slr1692,1,1,10,17,hypothetical protein
228,slr0936,1,1,10,18,nicotinate-nucleotide pyrophosphorylase
229,slr0148,1,1,10,19,
230,slr0152,1,1,10,20,serine/threonine protein kinase
231,sll0148,1,1,10,21,
232,sll0146,1,1,10,22,high-affinity branched-chain amino acid transport
233,sll0144,1,1,10,23,uridine monophosphate kinase
234,sll0142,1,1,10,24,cation efflux system protein CzcA
235,sll1995,1,1,11,1,
236,slr2130,1,1,11,2,3-dehydroquinate synthase
237,sll1241,1,1,11,3,
238,sll1237,1,1,11,4,protoporphyrinogen oxidase
239,slr1325,1,1,11,5,(p)ppGpp 3'-pyrophosphohydrolase
240,sll1233,1,1,11,6,
241,sll1380,1,1,11,7,
242,sll1377,1,1,11,8,
243,sll1374,1,1,11,9,melibiose carrier protein
244,sll1372,1,1,11,10,
245,sll1370,1,1,11,11,GDP-mannose pyrophosphorylase
246,sll1180,1,1,11,12,HlyB family
247,slr0949,1,1,11,13,high-affinity branched-chain amino acid transport
248,sll0910,1,1,11,14,hypothetical protein
249,slr0951,1,1,11,15,hypothetical protein
250,slr0953,1,1,11,16,
251,slr0958,1,1,11,17,cysteinyl-tRNA synthetase
252,slr0959,1,1,11,18,
253,slr1931,1,1,11,19,
254,slr1933,1,1,11,20,dTDP-4-dehydrorhamnose 3,5-epimerase
255,slr0990,1,1,11,21,
256,slr0994,1,1,11,22,LipB protein
257,slr0320,1,1,11,23,
258,slr0322,1,1,11,24,chemotaxis protein CheA
259,sll1217,1,1,12,1,
260,slr0806,1,1,12,2,
261,slr0808,1,1,12,3,
262,sll0818,1,1,12,4,hypothetical protein
263,sll0816,1,1,12,5,hypothetical protein
264,sll0814,1,1,12,6,
265,sll1169,1,1,12,7,
266,slr1287,1,1,12,8,hypothetical protein
267,sll1166,1,1,12,9,hypothetical protein
268,sll1444,1,1,12,10,3-isopropylmalate dehydratase
269,slr1529,1,1,12,11,nitrogen assimilation regulatory protein
270,sll1440,1,1,12,12,pyridoxamine 5'-phosphate oxidase
271,sll1527,1,1,12,13,
272,slr1641,1,1,12,14,ClpB protein
273,sll0427,1,1,12,15,photosystem II manganese-stabilizing polypeptide
274,sll0424,1,1,12,16,
275,sll0421,1,1,12,17,adenylosuccinate lyase
276,sll0418,1,1,12,18,sterol-C-methyltransferase
277,slr0168,1,1,12,19,
278,slr0171,1,1,12,20,ycf37 gene product
279,sll0174,1,1,12,21,
280,sll0171,1,1,12,22,aminomethyltransferase
281,sll0163,1,1,12,23,beta transducin-like protein
282,slr0179,1,1,12,24,
283,slr0366,1,1,13,1,
284,slr0370,1,1,13,2,succinate-semialdehyde dehydrogenase (NADP+)
285,sll0336,1,1,13,3,acetyl-CoA carboxylase beta subunit
286,slr0374,1,1,13,4,cell division cycle protein
287,slr0380,1,1,13,5,
288,slr0383,1,1,13,6,
289,sll0402,1,1,13,7,aspartate aminotransferase
290,slr0050,1,1,13,8,hypothetical protein
291,sll0071,1,1,13,9,
292,sll0067,1,1,13,10,glutathione S-transferase
293,slr0056,1,1,13,11,chlorophyll synthase 33 kD subunit
294,sll0063,1,1,13,12,
295,sll0185,1,1,13,13,
296,slr0201,1,1,13,14,heterodisulfide reductase subunit B
297,sll0182,1,1,13,15,ABC transporter
298,sll0180,1,1,13,16,
299,slr0208,1,1,13,17,
300,slr0211,1,1,13,18,
301,sll0482,1,1,13,19,hypothetical protein
302,slr0509,1,1,13,20,alkaline phosphatase like protein
303,sll0477,1,1,13,21,
304,slr0514,1,1,13,22,
305,sll0473,1,1,13,23,
306,slr0521,1,1,13,24,
307,sll0765,1,1,14,1,hypothetical protein
308,sll0760,1,1,14,2,ycf38 gene product
309,slr0779,1,1,14,3,
310,sll0755,1,1,14,4,thiol-specific antioxidant protein
311,sll0752,1,1,14,5,
312,slr0782,1,1,14,6,hypothetical protein
313,slr0468,1,1,14,7,
314,sll0461,1,1,14,8,gamma-glutamyl phosphate reductase
315,sll0459,1,1,14,9,excinuclease ABC subunit B
316,slr0480,1,1,14,10,hypothetical protein
317,slr0484,1,1,14,11,sensory transduction histidine kinase
318,sll0456,1,1,14,12,
319,slr0918,1,1,14,13,methionine aminopeptidase
320,slr0922,1,1,14,14,peptidyl-tRNA hydrolase
321,sll0556,1,1,14,15,
322,sll0552,1,1,14,16,
323,sll0550,1,1,14,17,flavoprotein
324,slr0569,1,1,14,18,
325,sll0590,1,1,14,19,
326,slr0619,1,1,14,20,
327,sll0586,1,1,14,21,hypothetical protein
328,slr0624,1,1,14,22,hypothetical protein
329,slr0626,1,1,14,23,hypothetical protein
330,sll0107,1,1,14,24,4-hydroxy-2-oxoglutarate aldolase
331,slr0358,1,1,15,1,
332,sll0309,1,1,15,2,
333,sll0023,1,1,15,3,hypothetical protein
334,sll0021,1,1,15,4,
335,sll0019,1,1,15,5,hypothetical protein
336,slr0006,1,1,15,6,
337,slr0719,1,1,15,7,hypothetical protein
338,slr0630,1,1,15,8,
339,sll0615,1,1,15,9,transmembrane protein FT27
340,slr0634,1,1,15,10,
341,slr0636,1,1,15,11,hypothetical protein
342,slr0638,1,1,15,12,glycyl-tRNA synthetase alpha chain
343,sll0834,1,1,15,13,low affinity sulfate transporter
344,slr0833,1,1,15,14,replicative DNA helicase
345,slr0836,1,1,15,15,dTDP-glucose 4,6-dehydratase
346,slr0838,1,1,15,16,phosphoribosyl formylglycinamidine cyclo-ligase
347,slr0839,1,1,15,17,ferrochelatase
348,sll0827,1,1,15,18,
349,slr0111,1,1,15,19,
350,slr0114,1,1,15,20,
351,slr0116,1,1,15,21,
352,slr0121,1,1,15,22,
353,sll0289,1,1,15,23,septum site-determining protein MinD
354,slr0299,1,1,15,24,
355,slr0214,1,1,16,1,cytosine-specific methyltransferase
356,slr0216,1,1,16,2,cobinamide kinase / cobinamide phosphate guanylylt
357,slr0222,1,1,16,3,sensory transduction histidine kinase
358,slr0224,1,1,16,4,
359,sll0198,1,1,16,5,
360,sll0195,1,1,16,6,
361,sll0396,1,1,16,7,regulatory components of sensory transduction syst
362,slr0417,1,1,16,8,DNA gyrase A subunit
363,sll0385,1,1,16,9,ABC transporter
364,sll0383,1,1,16,10,CbiM protein
365,sll0381,1,1,16,11,
366,sll0379,1,1,16,12,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosami
367,slr0077,1,1,16,13,NifS protein
368,sll0085,1,1,16,14,
369,slr0079,1,1,16,15,general secretion pathway protein E
370,slr0082,1,1,16,16,hypothetical protein
371,slr0084,1,1,16,17,N-acetyl-glutamate-gamma-semialdehyde dehydrogenas
372,slr0088,1,1,16,18,phytoene dehydrogenase
373,slr0311,1,1,16,19,sensory transduction histidine kinase
374,slr0313,1,1,16,20,
375,slr0315,1,1,16,21,hypothetical protein
376,slr0317,1,1,16,22,hypothetical protein
377,slr0319,1,1,16,23,beta-lactamase
378,slr0787,1,1,16,24,
379,sll0786,1,1,17,1,
380,sll0784,1,1,17,2,nitrilase
381,sll0782,1,1,17,3,putative protein kinase
382,sll0778,1,1,17,4,ABC transporter
383,sll0776,1,1,17,5,eukaryotic protein  kinase
384,slr0700,1,1,17,6,
385,slr0556,1,1,17,7,hypothetical protein
386,slr0557,1,1,17,8,valyl-tRNA synthetase
387,sll0520,1,1,17,9,NADH dehydrogenase subunit NdhI
388,slr1418,1,1,17,10,dihydroorotate dehydrogenase
389,sll1344,1,1,17,11,
390,sll1342,1,1,17,12,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (
391,slr0756,1,1,17,13,
392,sll0723,1,1,17,14,
393,sll0721,1,1,17,15,leukotoxin (LtA)
394,sll1545,1,1,17,16,glutathione S-transferase
395,slr1665,1,1,17,17,diaminopimelate epimerase
396,sll1544,1,1,17,18,regulatory components of sensory transduction syst
397,ssl3364,1,1,17,19,hypothetical protein
398,ssl3291,1,1,17,20,
399,ssl3127,1,1,17,21,
400,ssl0461,1,1,17,22,
401,ssl0452,1,1,17,23,phycobilisome degradation protein NblA
402,ssr3532,1,1,17,24,
403,sll0744,1,1,18,1,
404,sll0740,1,1,18,2,
405,sll0738,1,1,18,3,molybdate-binding periplasmic protein
406,sll0045,1,1,18,4,sucrose phosphate synthase
407,sll0043,1,1,18,5,chemotaxis protein CheA
408,sll0040,1,1,18,6,
409,slr1454,1,1,18,7,sulfate transport system permease protein
410,slr1456,1,1,18,8,general secretion pathway protein G
411,slr1459,1,1,18,9,phycobilisome core component
412,slr1461,1,1,18,10,hypothetical protein
413,slr1462,1,1,18,11,
414,slr1464,1,1,18,12,
415,slr0452,1,1,18,13,dihydroxyacid dehydratase
416,slr0454,1,1,18,14,acriflavine resistance protein
417,slr0459,1,1,18,15,
418,slr1177,1,1,18,16,
419,sll1110,1,1,18,17,peptide chain release factor
420,sll1108,1,1,18,18,hypothetical protein
421,ssl3580,1,1,18,19,hydrogenase expression/formation protein HypC
422,ssl3549,1,1,18,20,
423,smr0011,1,1,18,21,50S ribosomal protein L34
424,ssr2806,1,1,18,22,
425,ssr1600,1,1,18,23,
426,ssl0242,1,1,18,24,
427,slr0044,1,1,19,1,nitrate transport protein NrtD
428,sll0026,1,1,19,2,NADH dehydrogenase subunit 5
429,slr0525,1,1,19,3,Mg-protoporphyrin IX methyl transferase
430,sll0514,1,1,19,4,
431,slr0530,1,1,19,5,membrane bound sugar transport protein
432,sll0513,1,1,19,6,
433,sll0621,1,1,19,7,thiol:disulfide interchange protein DsbD
434,sll1499,1,1,19,8,ferredoxin-dependent glutamate synthase
435,sll1498,1,1,19,9,carbamoyl-phosphate synthetase subunit A
436,sll1496,1,1,19,10,mannose-1-phosphate guanyltransferase
437,slr1559,1,1,19,11,shikimate 5-dehydrogenase
438,slr1566,1,1,19,12,
439,ssl0410,1,1,19,13,
440,sml0004,1,1,19,14,hypothetical protein
441,ssr2998,1,1,19,15,hypothetical protein
442,ssr2142,1,1,19,16,hypothetical protein
443,ssr1765,1,1,19,17,hypothetical protein
444,ssl1972,1,1,19,18,
445,sll1577,1,1,19,19,phycocyanin b subunit
446,ssr0332,1,1,19,20,
447,slr2051,1,1,19,21,phycobilisome rod-core linker polypeptide CpcG
448,sll0819,1,1,19,22,photosystem I subunit III
449,ssl1552,1,1,19,23,
450,ssr1038,1,1,19,24,
451,sll0501,1,1,20,1,
452,slr0542,1,1,20,2,ATP-dependent protease ClpP
453,sll0499,1,1,20,3,
454,sll0497,1,1,20,4,
455,sll0496,1,1,20,5,
456,sll0494,1,1,20,6,
457,sll1482,1,1,20,7,
458,sll1479,1,1,20,8,glucose-6-P-dehydrogenase
459,sll1475,1,1,20,9,sensory transduction histidine kinase
460,sll1471,1,1,20,10,phycobilisome rod-core linker polypeptide CpcG
461,sll1470,1,1,20,11,3-isopropylmalate dehydratase
462,slr0747,1,1,20,12,ATP binding protein responsible for multiple sugar
463,ssr2843,1,1,20,13,
464,ssl3451,1,1,20,14,
465,ssr2009,1,1,20,15,
466,ssr2595,1,1,20,16,high light inducible protein
467,ssr2611,1,1,20,17,
468,ssr2047,1,1,20,18,
469,sll1405,1,1,20,20,
470,sll1400,1,1,20,21,
471,slr1116,1,1,20,22,
472,sll1061,1,1,20,23,
473,sll1052,1,1,20,24,
474,slr1097,1,1,21,1,
475,slr1101,1,1,21,2,
476,sll1030,1,1,21,3,carbon dioxide concentrating mechanism protein Ccm
477,sll1675,1,1,21,4,
478,sll1194,1,1,21,5,photosystem II 12 kD extrinsic protein
479,sll1191,1,1,21,6,
480,slr1902,1,1,21,7,
481,ssl2233,1,1,21,8,30S ribosomal protein S20
482,sll1118,1,1,21,9,hypothetical protein
483,sll1112,1,1,21,10,carbonic 3-dehydroquinase
484,sll1737,1,1,21,11,hypothetical protein
485,sll1736,1,1,21,12,
486,sll1381,1,1,21,13,
487,slr1273,1,1,21,14,
488,sll1447,1,1,21,15,
489,sll1439,1,1,21,16,
490,ssl2148,1,1,21,17,
491,slr1170,1,1,21,18,
492,slr0435,1,1,21,19,biotin carboxyl carrier protein of acetyl-CoA carb
493,sll0400,1,1,21,20,
494,sll0062,1,1,21,21,
495,sll0051,1,1,21,22,hypothetical protein
496,slr0476,1,1,21,23,
497,slr0489,1,1,21,24,
498,slr1082,1,1,22,1,
499,slr0680,1,1,22,2,
500,slr0695,1,1,22,3,
501,sll1512,1,1,22,4,hypothetical protein
502,slr1600,1,1,22,5,
503,sll1507,1,1,22,6,
504,slr1437,1,1,22,7,
505,slr1450,1,1,22,8,
506,sll1281,1,1,22,9,ycf9 gene product
507,sll1274,1,1,22,10,
508,slr0875,1,1,22,11,large-conductance mechanosensitive channel
509,slr0881,1,1,22,12,
510,slr0957,1,1,22,13,
511,ssr2723,1,1,22,14,
512,slr1626,1,1,22,15,hypothetical protein
513,slr1634,1,1,22,16,
514,slr1639,1,1,22,17,small protein
515,sll0423,1,1,22,18,
516,slr0196,1,1,22,19,
517,slr0204,1,1,22,20,
518,slr0915,1,1,22,21,putative endonuclease
519,slr0920,1,1,22,22,
520,slr0921,1,1,22,23,
521,sll0554,1,1,22,24,ferredoxin-thioredoxin reductase, catalytic chain
522,sll1751,1,1,23,1,
523,slr1851,1,1,23,2,hypothetical protein
524,sll1940,1,1,23,3,
525,sll1934,1,1,23,4,
526,sll1837,1,1,23,5,
527,slr1913,1,1,23,6,
528,slr1886,1,1,23,7,putative iojap protein
529,sll1698,1,1,23,8,
530,slr1812,1,1,23,9,hypothetical protein
531,sll1695,1,1,23,10,general secretion pathway protein G
532,slr1738,1,1,23,11,
533,slr0852,1,1,23,12,
534,slr0398,1,1,23,13,
535,sll0354,1,1,23,14,
536,slr0149,1,1,23,15,
537,slr0157,1,1,23,16,
538,sll1863,1,1,23,17,
539,slr0992,1,1,23,18,hypothetical protein
540,sll0481,1,1,23,19,
541,sll0478,1,1,23,20,
542,slr0518,1,1,23,21,arabinofuranosidase
543,sll0470,1,1,23,22,
544,slr0623,1,1,23,23,thioredoxin
545,sll0109,1,1,23,24,chorismate mutase
546,slr1383,1,1,24,1,
547,sll1292,1,1,24,2,regulatory components of sensory transduction syst
548,slr1394,1,1,24,3,
549,sll1926,1,1,24,4,
550,slr2008,1,1,24,5,
551,ssr3409,1,1,24,6,
552,sll1426,1,1,24,7,
553,slr2128,1,1,24,8,hypothetical protein
554,slr1327,1,1,24,9,
555,sll0812,1,1,24,10,
556,sll0808,1,1,24,11,transposase
557,sll0803,1,1,24,12,hypothetical protein
558,slr0381,1,1,24,13,hypothetical protein
559,sll0327,1,1,24,14,
560,slr0771,1,1,24,15,
561,sll0763,1,1,24,16,
562,slr0780,1,1,24,17,hypothetical protein
563,slr0343,1,1,24,18,cytochrome b6-f complex subunit 4
564,sll0678,1,1,24,19,
565,sll0668,1,1,24,20,
566,slr0711,1,1,24,21,
567,sll0661,1,1,24,22,ycf35 gene product
568,sll0047,1,1,24,23,
569,sll0044,1,1,24,24,
570,slr0668,1,1,25,1,
571,slr1568,1,1,25,2,
572,slr1583,1,1,25,3,
573,sll1547,1,1,25,4,hypothetical protein
574,sll0451,1,1,25,5,hypothetical protein
575,sll0442,1,1,25,6,
576,sll0887,1,1,25,7,
577,slr0895,1,1,25,8,
578,slr0897,1,1,25,9,endo-1,4-beta-glucanase
579,sll0493,1,1,25,10,hypothetical protein
580,slr0926,1,1,25,11,4-hydroxybenzoate-octaprenyl transferase
581,slr0929,1,1,25,12,
582,slr0348,1,1,25,13,hypothetical protein
583,slr0662,1,1,25,14,arginine decarboxylase
584,slr1661,1,1,25,15,
585,sll1027,1,1,25,16,NADH-glutamate synthase small subunit
586,sll1614,1,1,25,17,H(+)-transporting ATPase
587,slr0220,1,1,25,18,glycyl-tRNA synthetase beta chain
588,slr0356,1,1,25,19,
589,slr1636,1,1,25,20,
590,slr2041,1,1,25,21,cell division response regulator DivK
591,slr1730,1,1,25,22,potassium-transporting ATPase C chain
592,slr1251,1,1,25,23,peptidyl-prolyl cis-trans isomerase
593,slr0853,1,1,25,24,ribosomal-protein-alanine acetyltransferase
594,sll0575,1,1,26,2,ATP-binding protein
595,slr0591,1,1,26,3,
596,sll0572,1,1,26,4,
597,sll0569,1,1,26,5,RecA gene product
598,slr0596,1,1,26,6,
599,slr1658,1,1,26,7,
600,slr1192,1,1,26,8,zinc-containing alcohol dehydrogenase family
601,ssl0426,1,1,26,9,transposase
602,slr0250,1,1,26,10,
603,sll1654,1,1,26,11,
604,sll1574,1,1,26,12,
605,sll0068,1,1,26,13,
606,slr0377,1,1,26,15,
607,sll0175,1,1,26,16,putative;  ORF1
608,slr1316,1,1,26,17,iron(III) dicitrate transport system permease prot
609,sll1516,1,1,26,18,
610,sll0253,1,1,26,19,
611,slr2097,1,1,26,20,cyanoglobin
612,sll1609,1,1,26,21,
613,slr1209,1,1,26,22,
614,slr1732,1,1,26,23,
615,sll1029,1,1,26,24,carbon dioxide concentrating mechanism protein Ccm
616,slr2095,1,1,27,1,
617,sll0010,1,1,27,2,
618,slr1311,1,1,27,3,photosystem II D1 protein
619,sll0223,1,1,27,4,NADH dehydrogenase subunit 2
620,slr1799,1,1,27,5,
621,sll1656,1,1,27,6,
622,sll1715,1,1,27,7,
623,sll1783,1,1,27,8,
624,slr1853,1,1,27,9,
625,slr1856,1,1,27,10,
626,sll2007,1,1,27,11,
627,ssl3829,1,1,27,12,
628,sll0555,1,1,27,13,methionine aminopeptidase
629,sll1871,1,1,27,14,sensory transduction histidine kinase
630,slr1385,1,1,27,15,
